Job Title,Date Posted,Link,Company,Salary,Description
Receptionist,Yesterday,https://www.bayt.com/en/lebanon/jobs/receptionist-5383272/,Flawless 7,Unspecified,"Flawless7 is a Plastic Surgery and Wellness Center, introducing a new luxury concept in Lebanon, Where science meets beauty and care meets excellence. We offer premium expertise in advanced Plastic surgery and aesthetics , wellness , and personalized transformations. We are looking for a Receptionist to join our front-desk team; someone who represents professionalism, warmth, and efficiency while ensuring a smooth and welcoming experience for every client. Key Responsibilities Greet and welcome patients in a professional and friendly manner. Manage appointment scheduling, confirmations, and follow-ups. Coordinate effectively with the medical and nursing teams to ensure smooth clinic operations. Handle patient inquiries in person, by phone, or through digital communication. Maintain confidentiality and uphold the clinic’s high standards of service. Support administrative duties such as data entry, billing coordination, and filing. Position Details Working hours: 9:00 AM – 8:00 PM 2 days off weekly (days are flexible and scheduled based on clinic needs) Friendly, professional work environment with room for growth Salary, benefits and incentives are available. Flawless7 is a Plastic Surgery and Wellness Center, introducing a new luxury concept in Lebanon, Where science meets beauty and care meets excellence. We offer premium expertise in advanced Plastic surgery and aesthetics , wellness , and personalized transformations. advanced Plastic surgery and aesthetics wellness We are looking for a Receptionist to join our front-desk team; someone who represents professionalism, warmth, and efficiency while ensuring a smooth and welcoming experience for every client. Key Responsibilities Key Responsibilities Greet and welcome patients in a professional and friendly manner. Manage appointment scheduling, confirmations, and follow-ups. Coordinate effectively with the medical and nursing teams to ensure smooth clinic operations. Handle patient inquiries in person, by phone, or through digital communication. Maintain confidentiality and uphold the clinic’s high standards of service. Support administrative duties such as data entry, billing coordination, and filing. Greet and welcome patients in a professional and friendly manner. Manage appointment scheduling, confirmations, and follow-ups. Coordinate effectively with the medical and nursing teams to ensure smooth clinic operations. Handle patient inquiries in person, by phone, or through digital communication. Maintain confidentiality and uphold the clinic’s high standards of service. Support administrative duties such as data entry, billing coordination, and filing. Position Details Position Details Working hours: 9:00 AM – 8:00 PM 2 days off weekly (days are flexible and scheduled based on clinic needs) Friendly, professional work environment with room for growth Salary, benefits and incentives are available. Working hours: 9:00 AM – 8:00 PM 2 days off weekly (days are flexible and scheduled based on clinic needs) Friendly, professional work environment with room for growth Salary, benefits and incentives are available. Skills Previous experience as a receptionist or front-desk officer (preferably in a clinic, spa, or hospitality setting). Medical or aesthetic background is an advantage but not mandatory. Excellent communication and interpersonal skills. Professional appearance and strong organizational abilities. Good in Arabic and English; French is a plus Skills Previous experience as a receptionist or front-desk officer (preferably in a clinic, spa, or hospitality setting). Medical or aesthetic background is an advantage but not mandatory. Excellent communication and interpersonal skills. Professional appearance and strong organizational abilities. Good in Arabic and English; French is a plus Previous experience as a receptionist or front-desk officer (preferably in a clinic, spa, or hospitality setting). Medical or aesthetic background is an advantage but not mandatory. Excellent communication and interpersonal skills. Professional appearance and strong organizational abilities. Good in Arabic and English; French is a plus Preferred candidate Gender Female Preferred candidate Gender Female Gender Gender Female"
Telesales Executive,2 days ago,https://www.bayt.com/en/lebanon/jobs/telesales-executive-5382417/,Tanbish,$0 - $500,"Tanbish Lebanon is an online classified platform looking for remote Telesales Executive Role Description: This is a full-time remote role for a Telesales Specialist. The Telesales Specialist will be responsible for making outbound calls to potential customers, answering inbound calls from customers, and following up on leads. Additionally, the role involves providing exceptional customer service, addressing customer inquiries, resolving issues, and maintaining accurate records of customer interactions. The Telesales Specialist will also be expected to meet and exceed sales targets and collaborate with the team to develop effective sales strategies. Qualifications: Sales experience at least 2 years Customer Service and Customer Support skills Strong Communication skills Ability to provide Training Excellent interpersonal and negotiation skills Ability to work independently and remotely Experience in telesales or related field is a plus High school diploma or equivalent; college degree preferred ""The job location is in Lebanon."" Tanbish Lebanon is an online classified platform looking for remote Telesales Executive Role Description: This is a full-time remote role for a Telesales Specialist. The Telesales Specialist will be responsible for making outbound calls to potential customers, answering inbound calls from customers, and following up on leads. Additionally, the role involves providing exceptional customer service, addressing customer inquiries, resolving issues, and maintaining accurate records of customer interactions. The Telesales Specialist will also be expected to meet and exceed sales targets and collaborate with the team to develop effective sales strategies. Qualifications: Sales experience at least 2 years Customer Service and Customer Support skills Strong Communication skills Ability to provide Training Excellent interpersonal and negotiation skills Ability to work independently and remotely Experience in telesales or related field is a plus High school diploma or equivalent; college degree preferred Sales experience at least 2 years Customer Service and Customer Support skills Strong Communication skills Ability to provide Training Excellent interpersonal and negotiation skills Ability to work independently and remotely Experience in telesales or related field is a plus High school diploma or equivalent; college degree preferred ""The job location is in Lebanon."" Skills . Skills . Preferred candidate Years of experience 2 - 5 years Residence location Beirut, Lebanon Career level Entry level Preferred candidate Years of experience 2 - 5 years Years of experience Years of experience 2 - 5 years Residence location Beirut, Lebanon Residence location Residence location Beirut, Lebanon Career level Entry level Career level Career level Entry level"
Creative Graphic Designer,7 days ago,https://www.bayt.com/en/lebanon/jobs/creative-graphic-designer-5379669/,Mazimigo,Unspecified,"We are seeking a highly creative and detail-oriented Graphic Designer to join our team. The ideal candidate will be responsible for conceptualizing and producing visually compelling designs across multiple platforms, including digital, print, and social media. You’ll collaborate with marketing, product, and content teams to translate ideas into impactful visual stories that strengthen our brand identity and engage our target audience. Key Responsibilities: Develop and execute creative concepts, graphics, and layouts for digital and print materials (social media, ads, presentations, brochures, packaging, etc.) Collaborate with cross-functional teams to understand project goals and deliver visual assets that align with brand strategy Maintain brand consistency across all marketing channels and design outputs Stay up-to-date with design trends, emerging tools, and best practices in visual communication Prepare final graphics and layouts ensuring visual appeal and accuracy Manage multiple design projects simultaneously and meet deadlines in a fast-paced environment We are seeking a highly creative and detail-oriented Graphic Designer to join our team. The ideal candidate will be responsible for conceptualizing and producing visually compelling designs across multiple platforms, including digital, print, and social media. You’ll collaborate with marketing, product, and content teams to translate ideas into impactful visual stories that strengthen our brand identity and engage our target audience. Key Responsibilities: Key Responsibilities: Develop and execute creative concepts, graphics, and layouts for digital and print materials (social media, ads, presentations, brochures, packaging, etc.) Collaborate with cross-functional teams to understand project goals and deliver visual assets that align with brand strategy Maintain brand consistency across all marketing channels and design outputs Stay up-to-date with design trends, emerging tools, and best practices in visual communication Prepare final graphics and layouts ensuring visual appeal and accuracy Manage multiple design projects simultaneously and meet deadlines in a fast-paced environment Develop and execute creative concepts, graphics, and layouts for digital and print materials (social media, ads, presentations, brochures, packaging, etc.) Collaborate with cross-functional teams to understand project goals and deliver visual assets that align with brand strategy Maintain brand consistency across all marketing channels and design outputs Stay up-to-date with design trends, emerging tools, and best practices in visual communication Prepare final graphics and layouts ensuring visual appeal and accuracy Manage multiple design projects simultaneously and meet deadlines in a fast-paced environment Skills Desired Skills & Qualifications Bachelor’s degree in Graphic Design, Visual Communication, or a related field (or equivalent experience) 2+ years of experience in graphic design, preferably in an agency or in-house creative team Proficiency in Adobe Creative Suite (Photoshop, Illustrator, InDesign, After Effects, etc.) Strong understanding of typography, color theory, and layout principles Experience with digital design (social media graphics, web banners, email templates) Familiarity with motion graphics, animation, or video editing is a plus Excellent communication, collaboration, and time-management skills A strong portfolio demonstrating creativity and a range of design styles Skills Desired Skills & Qualifications Desired Skills & Qualifications Bachelor’s degree in Graphic Design, Visual Communication, or a related field (or equivalent experience) 2+ years of experience in graphic design, preferably in an agency or in-house creative team Proficiency in Adobe Creative Suite (Photoshop, Illustrator, InDesign, After Effects, etc.) Strong understanding of typography, color theory, and layout principles Experience with digital design (social media graphics, web banners, email templates) Familiarity with motion graphics, animation, or video editing is a plus Excellent communication, collaboration, and time-management skills A strong portfolio demonstrating creativity and a range of design styles Bachelor’s degree in Graphic Design, Visual Communication, or a related field (or equivalent experience) 2+ years of experience in graphic design, preferably in an agency or in-house creative team Proficiency in Adobe Creative Suite (Photoshop, Illustrator, InDesign, After Effects, etc.) Strong understanding of typography, color theory, and layout principles Experience with digital design (social media graphics, web banners, email templates) Familiarity with motion graphics, animation, or video editing is a plus Excellent communication, collaboration, and time-management skills A strong portfolio demonstrating creativity and a range of design styles Preferred candidate Career level Mid career Preferred candidate Career level Mid career Career level Career level Mid career"
MEP Technician,5 days ago,https://www.bayt.com/en/lebanon/jobs/mep-technician-5350016/,Scale group,Unspecified,"Position: MEP Technician Location: Antelias Employment Type: Full-time Key Responsibilities: Perform installation, maintenance, and repair of MEP systems (Mechanical, Electrical, Plumbing) Read and interpret technical drawings and schematics Troubleshoot system malfunctions and recommend solutions Ensure all work complies with safety standards and regulations Collaborate with engineers and site supervisors Position: MEP Technician Location: Antelias Employment Type: Full-time Key Responsibilities: Perform installation, maintenance, and repair of MEP systems (Mechanical, Electrical, Plumbing) Read and interpret technical drawings and schematics Troubleshoot system malfunctions and recommend solutions Ensure all work complies with safety standards and regulations Collaborate with engineers and site supervisors Skills 0-2 years of experience as an MEP Technician Strong knowledge of HVAC, electrical, and plumbing systems Technical certification or diploma in Mechanical/Electrical field Ability to work independently and under pressure Driving license needed Skills 0-2 years of experience as an MEP Technician Strong knowledge of HVAC, electrical, and plumbing systems Technical certification or diploma in Mechanical/Electrical field Ability to work independently and under pressure Driving license needed Preferred candidate Gender Male Preferred candidate Gender Male Gender Gender Male"
Personal Trainer,7 days ago,https://www.bayt.com/en/lebanon/jobs/personal-trainer-5380275/,PT Boutique Privé,Unspecified,"About the Role PT Boutique is a premium personal training and Lagree studio — the first of its kind in Lebanon. We pride ourselves on offering a private, high-end fitness experience that combines discipline, care, and visible results. We are looking for a certified male Personal Trainer who is driven, professional, and ready to represent PT Boutique’s values on the floor. You will be joining a motivated and dynamic team that prioritizes excellence, client satisfaction, and teamwork. This opportunity is ideal for a trainer who wants to build a strong, long-term career in a structured environment, surrounded by passionate professionals, with access to elite clientele and continuous support from management. What Makes This Role Unique Work in a private, boutique gym environment with limited clients and personalized sessions. Be part of a growing premium fitness brand recognized for its results and professionalism. Receive ongoing mentorship, structured systems, and clear growth potential. Enjoy a supportive atmosphere built around respect, teamwork, and accountability. Daily Responsibilities As a PT Boutique Trainer, you will: Conduct one-on-one personal training sessions following PTB’s structured training systems. Provide clients with proper guidance, motivation, and consistent follow-ups to ensure visible progress. Maintain professional appearance, hygiene, and punctuality at all times. Manage client appointments and attendance through the PTB portal and CRM system. Collaborate with physiotherapists, nutritionists, and management to deliver a 360° wellness experience. Help clients understand the importance of stretching, recovery, and body assessments as part of their journey. Ensure the training floor is always clean, organized, and ready for the next session. Respect PTB’s internal policies and maintain a positive, proactive, and disciplined attitude. Be available and ready to work 6–10 hours daily , depending on client demand and schedule. Participate in team meetings and continuous education sessions to align with PTB’s standards. About the Role About the Role PT Boutique is a premium personal training and Lagree studio — the first of its kind in Lebanon. We pride ourselves on offering a private, high-end fitness experience that combines discipline, care, and visible results. We are looking for a certified male Personal Trainer who is driven, professional, and ready to represent PT Boutique’s values on the floor. You will be joining a motivated and dynamic team that prioritizes excellence, client satisfaction, and teamwork. certified male Personal Trainer This opportunity is ideal for a trainer who wants to build a strong, long-term career in a structured environment, surrounded by passionate professionals, with access to elite clientele and continuous support from management. strong, long-term career What Makes This Role Unique What Makes This Role Unique Work in a private, boutique gym environment with limited clients and personalized sessions. Be part of a growing premium fitness brand recognized for its results and professionalism. Receive ongoing mentorship, structured systems, and clear growth potential. Enjoy a supportive atmosphere built around respect, teamwork, and accountability. Work in a private, boutique gym environment with limited clients and personalized sessions. private, boutique gym environment Be part of a growing premium fitness brand recognized for its results and professionalism. growing premium fitness brand Receive ongoing mentorship, structured systems, and clear growth potential. ongoing mentorship, structured systems, and clear growth potential. Enjoy a supportive atmosphere built around respect, teamwork, and accountability. Daily Responsibilities Daily Responsibilities As a PT Boutique Trainer, you will: Conduct one-on-one personal training sessions following PTB’s structured training systems. Provide clients with proper guidance, motivation, and consistent follow-ups to ensure visible progress. Maintain professional appearance, hygiene, and punctuality at all times. Manage client appointments and attendance through the PTB portal and CRM system. Collaborate with physiotherapists, nutritionists, and management to deliver a 360° wellness experience. Help clients understand the importance of stretching, recovery, and body assessments as part of their journey. Ensure the training floor is always clean, organized, and ready for the next session. Respect PTB’s internal policies and maintain a positive, proactive, and disciplined attitude. Be available and ready to work 6–10 hours daily , depending on client demand and schedule. Participate in team meetings and continuous education sessions to align with PTB’s standards. Conduct one-on-one personal training sessions following PTB’s structured training systems. one-on-one personal training sessions Provide clients with proper guidance, motivation, and consistent follow-ups to ensure visible progress. proper guidance, motivation, and consistent follow-ups Maintain professional appearance, hygiene, and punctuality at all times. professional appearance, hygiene, and punctuality Manage client appointments and attendance through the PTB portal and CRM system. PTB portal and CRM system. Collaborate with physiotherapists, nutritionists, and management to deliver a 360° wellness experience. 360° wellness experience. Help clients understand the importance of stretching, recovery, and body assessments as part of their journey. stretching, recovery, and body assessments Ensure the training floor is always clean, organized, and ready for the next session. clean, organized, and ready Respect PTB’s internal policies and maintain a positive, proactive, and disciplined attitude. positive, proactive, and disciplined attitude. Be available and ready to work 6–10 hours daily , depending on client demand and schedule. 6–10 hours daily Participate in team meetings and continuous education sessions to align with PTB’s standards. team meetings and continuous education sessions Skills Requirements Certified Personal Trainer . Minimum 1–2 years of personal training experience preferred. Excellent communication and interpersonal skills. Presentable, clean, and disciplined appearance. Positive energy, strong work ethic, and team spirit. Ability to motivate and connect with clients of all fitness levels. Commitment to deliver high-quality service and results. Skills Requirements Requirements Certified Personal Trainer . Minimum 1–2 years of personal training experience preferred. Excellent communication and interpersonal skills. Presentable, clean, and disciplined appearance. Positive energy, strong work ethic, and team spirit. Ability to motivate and connect with clients of all fitness levels. Commitment to deliver high-quality service and results. Certified Personal Trainer . Certified Personal Trainer Minimum 1–2 years of personal training experience preferred. Excellent communication and interpersonal skills. Presentable, clean, and disciplined appearance. Positive energy, strong work ethic, and team spirit. Ability to motivate and connect with clients of all fitness levels. Commitment to deliver high-quality service and results. Preferred candidate Years of experience 1+ years Nationality Lebanon Gender Male Degree Certification / diploma Preferred candidate Years of experience 1+ years Years of experience Years of experience 1+ years Nationality Lebanon Nationality Nationality Lebanon Gender Male Gender Gender Male Degree Certification / diploma Degree Degree Certification / diploma"
Office Secretary,5 days ago,https://www.bayt.com/en/lebanon/jobs/office-secretary-5349879/,Scale group,Unspecified,"Job Title: Secretary Location: Antelias Employment Type: Full-time Key Responsibilities: Handle daily administrative tasks and office coordination Manage correspondence (emails, phone calls, letters) Schedule meetings and maintain calendars Prepare reports, documents, and filing systems Support management and project teams Job Title: Secretary Location: Antelias Employment Type: Full-time Key Responsibilities: Handle daily administrative tasks and office coordination Manage correspondence (emails, phone calls, letters) Schedule meetings and maintain calendars Prepare reports, documents, and filing systems Support management and project teams Skills Proven experience as a secretary or administrative assistant Proficient in MS Office (Word, Excel) Excellent communication and organizational skills Ability to multitask and prioritize Skills Proven experience as a secretary or administrative assistant Proficient in MS Office (Word, Excel) Excellent communication and organizational skills Ability to multitask and prioritize Preferred candidate Nationality Lebanon Gender Female Preferred candidate Nationality Lebanon Nationality Nationality Lebanon Gender Female Gender Gender Female"
Social Media Manager,7 days ago,https://www.bayt.com/en/lebanon/jobs/social-media-manager-5379464/,Mazimigo,Unspecified,"The Role We’re looking for a Social Media Manager to join our dynamic team in Beirut. You’ll lead the full social media process — from strategy to execution — creating engaging content, developing detailed social media calendars, and building strong online communities that enhance our clients’ digital presence. ﻿ Key Responsibilities Develop and implement social media strategies aligned with client goals. Create and manage content calendars to ensure consistent, high-quality posting (based on optimal posting times & location specific nuances) Oversee content creation and curation for Instagram, Facebook, TikTok, LinkedIn, and other platforms. Track performance metrics, analyze insights, and optimize for engagement and growth. Stay ahead of platform trends, tools, and opportunities. The Role The Role We’re looking for a Social Media Manager to join our dynamic team in Beirut. You’ll lead the full social media process — from strategy to execution — creating engaging content, developing detailed social media calendars, and building strong online communities that enhance our clients’ digital presence. Social Media Manager ﻿ Key Responsibilities ﻿ Key Responsibilities ﻿ Develop and implement social media strategies aligned with client goals. Create and manage content calendars to ensure consistent, high-quality posting (based on optimal posting times & location specific nuances) Oversee content creation and curation for Instagram, Facebook, TikTok, LinkedIn, and other platforms. Track performance metrics, analyze insights, and optimize for engagement and growth. Stay ahead of platform trends, tools, and opportunities. Develop and implement social media strategies aligned with client goals. Create and manage content calendars to ensure consistent, high-quality posting (based on optimal posting times & location specific nuances) Oversee content creation and curation for Instagram, Facebook, TikTok, LinkedIn, and other platforms. Track performance metrics, analyze insights, and optimize for engagement and growth. Stay ahead of platform trends, tools, and opportunities. Skills What We’re Looking For Bachelor’s degree in Marketing, Communication, or related field. Fluent in English and Arabic with excellent writing and communication skills. Proven experience managing brand or agency social media accounts (Instagram, Facebook, TikTok, LinkedIn, etc.) Strong ability to develop social media content strategies and manage calendars. Proficiency with analytics tools to track performance & optimize campaigns. Basic knowledge of graphic design tools (Canva, Photoshop). Skills What We’re Looking For What We’re Looking For What We’re Looking For Bachelor’s degree in Marketing, Communication, or related field. Fluent in English and Arabic with excellent writing and communication skills. Proven experience managing brand or agency social media accounts (Instagram, Facebook, TikTok, LinkedIn, etc.) Strong ability to develop social media content strategies and manage calendars. Proficiency with analytics tools to track performance & optimize campaigns. Basic knowledge of graphic design tools (Canva, Photoshop). Bachelor’s degree in Marketing, Communication, or related field. Fluent in English and Arabic with excellent writing and communication skills. Proven experience managing brand or agency social media accounts (Instagram, Facebook, TikTok, LinkedIn, etc.) Strong ability to develop social media content strategies and manage calendars. Proficiency with analytics tools to track performance & optimize campaigns. Basic knowledge of graphic design tools (Canva, Photoshop). Preferred candidate Career level Mid career Preferred candidate Career level Mid career Career level Career level Mid career"
Senior Graphic Designer,4 days ago,https://www.bayt.com/en/lebanon/jobs/senior-graphic-designer-5382357/,Alliance motors offshore S.A.L,"$1,000 - $1,500","About TGI Group TGI Group is a diversified organization with a strong footprint in the automotive sector. We are driven by innovation, creativity, and growth, and we are looking for a talented Senior Graphic Designer to join our creative team in Lebanon. Role Overview The Senior Graphic Designer will be responsible for developing high-quality visual assets across all TGI Group brands. This includes digital and print design, branding, packaging, POS materials, and video editing. The ideal candidate is a hands-on designer who can transform creative concepts into impactful visuals that communicate the group’s identity and values. Key Responsibilities Design and produce creative assets for multiple brands under TGI Group, ensuring consistency and brand alignment. Develop digital and print materials such as social media content, brochures, presentations, and corporate communications. Create product packaging, labeling, and point-of-sale (POS) designs that reflect brand identity and market trends. Contribute to brand development, including visual identity systems, logos, and brand guidelines. Produce professional product mockups and visual concepts for marketing campaigns and product launches. Edit and produce videos for marketing, digital campaigns, and internal communications. Collaborate with marketing, product, and sales teams to bring ideas to life through creative design. Stay up to date with design trends, techniques, and industry standards to ensure innovation and quality. About TGI Group About TGI Group TGI Group is a diversified organization with a strong footprint in the automotive sector. We are driven by innovation, creativity, and growth, and we are looking for a talented Senior Graphic Designer to join our creative team in Lebanon. Role Overview Role Overview The Senior Graphic Designer will be responsible for developing high-quality visual assets across all TGI Group brands. This includes digital and print design, branding, packaging, POS materials, and video editing. The ideal candidate is a hands-on designer who can transform creative concepts into impactful visuals that communicate the group’s identity and values. Key Responsibilities Key Responsibilities Design and produce creative assets for multiple brands under TGI Group, ensuring consistency and brand alignment. Develop digital and print materials such as social media content, brochures, presentations, and corporate communications. Create product packaging, labeling, and point-of-sale (POS) designs that reflect brand identity and market trends. Contribute to brand development, including visual identity systems, logos, and brand guidelines. Produce professional product mockups and visual concepts for marketing campaigns and product launches. Edit and produce videos for marketing, digital campaigns, and internal communications. Collaborate with marketing, product, and sales teams to bring ideas to life through creative design. Stay up to date with design trends, techniques, and industry standards to ensure innovation and quality. Design and produce creative assets for multiple brands under TGI Group, ensuring consistency and brand alignment. Develop digital and print materials such as social media content, brochures, presentations, and corporate communications. Create product packaging, labeling, and point-of-sale (POS) designs that reflect brand identity and market trends. Contribute to brand development, including visual identity systems, logos, and brand guidelines. Produce professional product mockups and visual concepts for marketing campaigns and product launches. Edit and produce videos for marketing, digital campaigns, and internal communications. Collaborate with marketing, product, and sales teams to bring ideas to life through creative design. Stay up to date with design trends, techniques, and industry standards to ensure innovation and quality. Skills Qualifications & Skills Bachelor’s degree in Graphic Design, Visual Communication, or related field. Minimum of 5 years of professional experience in graphic design, preferably in a multi-brand or agency environment. Proficiency in Adobe Creative Suite (Illustrator, Photoshop, InDesign, Premiere Pro, After Effects) and mockup or 3D visualization tools. Strong understanding of visual composition, typography, and color. Proven experience in video editing and motion graphics. Ability to manage multiple projects and deliver within deadlines. Excellent attention to detail, creativity, and visual storytelling. Strong portfolio demonstrating work in branding, packaging, and multimedia design. Skills Qualifications & Skills Qualifications & Skills Bachelor’s degree in Graphic Design, Visual Communication, or related field. Minimum of 5 years of professional experience in graphic design, preferably in a multi-brand or agency environment. Proficiency in Adobe Creative Suite (Illustrator, Photoshop, InDesign, Premiere Pro, After Effects) and mockup or 3D visualization tools. Strong understanding of visual composition, typography, and color. Proven experience in video editing and motion graphics. Ability to manage multiple projects and deliver within deadlines. Excellent attention to detail, creativity, and visual storytelling. Bachelor’s degree in Graphic Design, Visual Communication, or related field. Minimum of 5 years of professional experience in graphic design, preferably in a multi-brand or agency environment. Proficiency in Adobe Creative Suite (Illustrator, Photoshop, InDesign, Premiere Pro, After Effects) and mockup or 3D visualization tools. Strong understanding of visual composition, typography, and color. Proven experience in video editing and motion graphics. Ability to manage multiple projects and deliver within deadlines. Excellent attention to detail, creativity, and visual storytelling. Strong portfolio demonstrating work in branding, packaging, and multimedia design. Preferred candidate Years of experience 3 - 6 years Age 29 - 36 years Career level Mid career Major Graphic Design Preferred candidate Years of experience 3 - 6 years Years of experience Years of experience 3 - 6 years Age 29 - 36 years Age Age 29 - 36 years Career level Mid career Career level Career level Mid career Major Graphic Design Major Major Graphic Design"
Estimator,4 days ago,https://www.bayt.com/en/lebanon/jobs/estimator-5382342/,Confidential,Unspecified,We are seeking a motivated and results-driven ENGENEER and quality surveyor to join our growing team. background architecture or interior design 5 years experience trilingual We are seeking a motivated and results-driven ENGENEER and quality surveyor to join our growing team. ENGENEER and quality surveyor background architecture or interior design 5 years experience trilingual Skills We are seeking a motivated and results-driven ENGENEER and quality surveyor to join our growing team. background architecture or interior design 5 years experience trilingual Skills We are seeking a motivated and results-driven ENGENEER and quality surveyor to join our growing team. ENGENEER and quality surveyor background architecture or interior design 5 years experience trilingual
Insurance Financial Advisor,8 hours ago,https://www.bayt.com/en/lebanon/jobs/insurance-financial-advisor-5322018/,Confidential,Unspecified,"This is a full-time hybrid sales role for an Insurance Financial Advisor based in Mazraet Yachouh. The Insurance Financial Advisor will be responsible for proactively acquiring new clients, building and maintaining relationships, and offering comprehensive financial planning, retirement planning, and insurance solutions. Note: This position is open to Lebanese nationals only Responsibilities include: Proactively prospecting and presenting insurance plans. Identifying promising leads through diverse sales channels. Tailoring comprehensive coverage solutions and delivering expert consultations. Crafting persuasive proposals and leading impactful presentations. Nurturing lasting relationships with clients for long-term success. This is a full-time hybrid sales role for an Insurance Financial Advisor based in Mazraet Yachouh. The Insurance Financial Advisor will be responsible for proactively acquiring new clients, building and maintaining relationships, and offering comprehensive financial planning, retirement planning, and insurance solutions. Note: This position is open to Lebanese nationals only Note: This position is open to Lebanese nationals only Responsibilities include: Responsibilities include: Proactively prospecting and presenting insurance plans. Identifying promising leads through diverse sales channels. Tailoring comprehensive coverage solutions and delivering expert consultations. Crafting persuasive proposals and leading impactful presentations. Nurturing lasting relationships with clients for long-term success. Proactively prospecting and presenting insurance plans. Identifying promising leads through diverse sales channels. Tailoring comprehensive coverage solutions and delivering expert consultations. Crafting persuasive proposals and leading impactful presentations. Nurturing lasting relationships with clients for long-term success. Skills Qualifications Excellent communication and interpersonal skills Detail-oriented and organized Must have a car for transportation Skills Qualifications Qualifications Excellent communication and interpersonal skills Detail-oriented and organized Must have a car for transportation Excellent communication and interpersonal skills Detail-oriented and organized Must have a car for transportation Preferred candidate Nationality Lebanon Degree High school or equivalent Age 24+ years Preferred candidate Nationality Lebanon Nationality Nationality Lebanon Degree High school or equivalent Degree Degree High school or equivalent Age 24+ years Age Age 24+ years"
