title,link,country,name,description,category,employment_type,job_type,date_posted,salary
Branch Manager,https://huntinglebanese.com//en/careers/jobs/show/12987/branch-manager,Lebanon,Rossonero,"The candidate in this position will be responsible for handling the daily operations and management of the store and to implement the company rules. His role is to oversee the staffing requirements of the store, deal with customer service issues, prevent theft & handles advertising & promotions of the store in order to increase the sales & to assure continuous credibility with customers on long term to grow the company.Responsibilities:Full Supervision and organization of the branch workforce and operations.Implementing and monitoring sales and marketing strategies to ensure effectiveness.Ensuring high-quality customer service and maintaining client satisfaction levels.Preparing details periodic reports for senior management review.Qualifications:Bachelor's degree or equivalent in BusinessFull proficiency in Arabic, English and French, both spoken and written.Proven experience in retail branch management, preferably within the jewelry sector.Outstanding leadership and organizational abilities.Capability to lead teams and strategically meet sales objectives. The candidate in this position will be responsible for handling the daily operations and management of the store and to implement the company rules. His role is to oversee the staffing requirements of the store, deal with customer service issues, prevent theft & handles advertising & promotions of the store in order to increase the sales & to assure continuous credibility with customers on long term to grow the company. Responsibilities: Qualifications:",Sales,Employee,Full Time,2025-09-19,1800-2000
Wholesale Operation Coordinator,https://huntinglebanese.com//en/careers/jobs/show/13124/wholesale-operation-coordinator,Lebanon,Mike Sport,"Department:Commercial ProcurementJob Status:Full TimerWorking Hours:Monday till Friday from 9:00 am till 18:00 pmLocation:Head Office - ZalkaSCOPE OF THE JOB:The Wholesale Operation Coordinator is responsible for providing comprehensive administrative support, including managing calendars, scheduling meetings, and handling correspondence. They are also responsible for maintaining accurate records and organizing documentation, processing wholesale orders, coordinating communication between departments, providing customer service to wholesale clients, assisting with reporting and analysis, supporting projects and initiatives, and performing general office management duties as needed.KEY RESPONSIBILITIES:Monitor and follow up on departmental tasks to ensure timely and accurate completion.Generate reports focusing on wholesale sales, including salesperson, brand, and customer breakdowns.Manage sales and transfer orders by following up with branches and warehouse, striving for accurate and prompt delivery to clients.Coordinate closely with the warehouse team to track order statuses and address any issues.Follow up with stores operating on a consignment basis, ensuring adherence to the terms of the consignment agreement. This includes overseeing financial transactions, sales orders, and sales reports to ensure compliance with contract terms.Use efficient methods to keep track of tasks and stay updated on departmental progress.Handle contracts and agreements with wholesale customers, ensuring compliance with terms and conditions, including pricing and payment terms.Address and resolve issues related to product defects and other customer concerns.Communicate changes in inventory, pricing, or product availability to customers and internal teams.Resolve issues related to orders and deliveries by reporting the problem to the concerned party.Act as the primary liaison for wholesale clients, handling and undertaking their inquiries and concerns.Follow up with Customers on weekly reports to assess product performance and refill if needed.Generate monthly and weekly reports, evaluating sales performance metrics such as individual salesperson performance, brand performance, and departmental monthly sales.Provide insights and recommendations based on the analysis to improve overall sales strategies and outcomes.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:Bachelor’s Degree in Business Management or equivalent degree.Experience:2+ years of experience in the field.Linguistic Skills:Advanced in written & spoken English & Arabic, French is a plus.Computer Skills:Extensive knowledge of Ms. Office. Department: Commercial Procurement Job Status: Full Timer Working Hours: Monday till Friday from 9:00 am till 18:00 pm Location: Head Office - Zalka SCOPE OF THE JOB: The Wholesale Operation Coordinator is responsible for providing comprehensive administrative support, including managing calendars, scheduling meetings, and handling correspondence. They are also responsible for maintaining accurate records and organizing documentation, processing wholesale orders, coordinating communication between departments, providing customer service to wholesale clients, assisting with reporting and analysis, supporting projects and initiatives, and performing general office management duties as needed. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-10-16,
Dispatching Team Leader,https://huntinglebanese.com//en/careers/jobs/show/13115/dispatching-team-leader,Lebanon,Mike Sport,"Department:WarehouseJob Status:Full TimerWorking Hours:Monday till Friday from 8:00 am till 5:00 pmSaturday from 8:00 am till 2:00 pmLocation:Warehouse – Mar RoukozSCOPE OF THE JOB:The dispatching team leader is responsible for scheduling drivers to pick up and deliver loads to branches and customers. He is also responsible for keeping records, monitoring drivers daily logs, their schedules and equipment availability.KEY RESPONSIBILITIES:Regularly audit delivery routes and conduct weekly/monthly/quarterly feedback sessions with the drivers.Oversee the delivery process to all destinations, according to assigned schedules and driving regulations, in order to ensure a high level of both shops and customers’ satisfaction.Train drivers in roles and responsibilities regarding logistic strategies.Supervise drivers and ensure all delivery/pickup routes and duties are carried out and delivered safely and efficiently.Conduct daily GPS control & inspect vehicle equipment/supplies as outlined in the checklists, on a regular basis, ensuring it is roadworthy and compliant with the legislation and provide the Warehouse Supervisor the related documentation.Implement security & safety control procedures among drivers.Oversee drivers’ performance & ensure an efficient and timely operation during Event & occasions.Coordinate closely with the Inventory & LP dpt. with full cooperation to reduce shrinkage and stock discrepancies.Oversee the regular transfer of documents between stores, ensuring a proper operation of process.Coordinate between customers & drivers, in order to ensure a proper & timely machines’ installation.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High school Degree.Experience:3 - 5 years of experience in similar field. Team leading experience is a plus.Linguistic Skills:Moderate in English & French, very good in Arabic.Computer Skills:Proficiency in MS Office. Department: Warehouse Job Status: Full Timer Working Hours: Monday till Friday from 8:00 am till 5:00 pm Saturday from 8:00 am till 2:00 pm Location: Warehouse – Mar Roukoz SCOPE OF THE JOB: The dispatching team leader is responsible for scheduling drivers to pick up and deliver loads to branches and customers. He is also responsible for keeping records, monitoring drivers daily logs, their schedules and equipment availability. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Warehousing & Stock,Employee,Full Time,2025-10-15,
Accountant,https://huntinglebanese.com//en/careers/jobs/show/13114/accountant,Lebanon,Mike Sport,"Department:Accounting & FinanceJob Status:Full TimerWorking Hours:Monday till Friday from 9:00 am till 6:00 pmLocation:Head Office - ZalkaSCOPE OF THE JOB:The Accountant is responsible for providing proper book keeping and reconciling the books of account in order to support the effective provision of high quality accounting services across the business.KEY RESPONSIBILITIES:Process ledger and booking entries according to stated procedures so that all transactions are recorded in a timely and accurate manner.Identify, investigate and rectify routine errors and anomalies in input data in order to ensure accuracy of financial information.Analyze ledgers and accounts to allow the reconciliation of financial data according to stated schedules so that the company remains aware of its financial poison on an ongoing basis and statutory reports can be produced within legislative term limits.Prepare ledgers and accounts to allow the reconciliation of financial data according to stated schedules so that the company remains aware of its financial position on an ongoing basis and statutory reports can be produced within legislative time limits.Prepare reports from statistical and financial information according to stated schedules so that all required information is available for review in a timely manner.Prepare non-routine financial data as requested in order to support management decision-making.Monitor accounting procedural compliance by subordinates and employees in order to ensure that all systems are adhered to.Report major problems and areas of non-compliance to the hierarchy in order to ensure that high level of accounting management and control is maintained and that issues resolved in a timely manner.Respond to all inquiries of internal & external auditors.Ensure compliance of the company with the tax regulations and laws affecting the business and consult with auditors, in order to be up to date with newly published laws.Ensure that payments and other accounting/finance procedures are performed in compliance with agreements.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:Bachelor Degree in Business Administration with emphasis on Accounting.Experience:At least 3 to 4 years of experience in a similar Field.Linguistic Skills:Fluent in English.Computer Skills:Proficiency in MS Office. Department: Accounting & Finance Job Status: Full Timer Working Hours: Monday till Friday from 9:00 am till 6:00 pm Location: Head Office - Zalka SCOPE OF THE JOB: The Accountant is responsible for providing proper book keeping and reconciling the books of account in order to support the effective provision of high quality accounting services across the business. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Accounting / Finance,Employee,Full Time,2025-10-15,
Accountant / Customer Service,https://huntinglebanese.com//en/careers/jobs/show/13108/accountant-customer-service,Lebanon,Wadih Kassatly Co,"Process and issue invoices based on orders received from our sales team, website and online.Maintain an organized filing system for all paid invoices to ensure easy retrieval and accuracy, and other accounting records.Perform daily data entry for receipts and ensure all entries are accurate and up to date.Assist in reconciling discrepancies in invoices and maintain communication with relevant departments to resolve any issues.Perform any other accounting-related tasks as assigned by the accounting manager.Process customer requests, such as returns, exchanges, and refunds. Process and issue invoices based on orders received from our sales team, website and online. Maintain an organized filing system for all paid invoices to ensure easy retrieval and accuracy, and other accounting records. Perform daily data entry for receipts and ensure all entries are accurate and up to date. Assist in reconciling discrepancies in invoices and maintain communication with relevant departments to resolve any issues. Perform any other accounting-related tasks as assigned by the accounting manager. Process customer requests, such as returns, exchanges, and refunds.",Accounting / Finance,Employee,Full Time,2025-10-13,Negotiable
Branch Manager,https://huntinglebanese.com//en/careers/jobs/show/13078/branch-manager,Lebanon,Rossonero,"The candidate in this position will be responsible for handling the daily operations and management of the store and to implement the company rules. His role is to oversee the staffing requirements of the store, deal with customer service issues, prevent theft & handles advertising & promotions of the store in order to increase the sales & to assure continuous credibility with customers on long term to grow the company.Responsibilities:Full Supervision and organization of the branch workforce and operations.Implementing and monitoring sales and marketing strategies to ensure effectiveness.Ensuring high-quality customer service and maintaining client satisfaction levels.Preparing details periodic reports for senior management review.Qualifications:Bachelor's degree or equivalent in BusinessFull proficiency in Arabic, English and French, both spoken and written.Proven experience in retail branch management, preferably within the jewelry sector.Outstanding leadership and organizational abilities.Capability to lead teams and strategically meet sales objectives. The candidate in this position will be responsible for handling the daily operations and management of the store and to implement the company rules. His role is to oversee the staffing requirements of the store, deal with customer service issues, prevent theft & handles advertising & promotions of the store in order to increase the sales & to assure continuous credibility with customers on long term to grow the company. Responsibilities: Qualifications:",Sales,Employee,Full Time,2025-10-08,1800-2000
Backdoor Agent - MS Chtoura,https://huntinglebanese.com//en/careers/jobs/show/13066/backdoor-agent-ms-chtoura,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:ChtouraSCOPE OF THE JOB:The Backdoor Agent is responsible for receiving, inspecting, storing and issuing merchandise for use in the store. He/ She will also be responsible for ensuring an ongoing & punctual replenishment process at the store.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Receive merchandize, count it physically and electronically in order to ensure accuracy of information and inspect its quality to report discrepancies.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Organize the stockroom related to the store to conserve high level of stock replenishment.Classify, store and tag items in the warehouse on a daily basis as per store procedures and items' characteristics, in order to ensure timely finding and release of products.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Chtoura SCOPE OF THE JOB: The Backdoor Agent is responsible for receiving, inspecting, storing and issuing merchandise for use in the store. He/ She will also be responsible for ensuring an ongoing & punctual replenishment process at the store. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-10-03,
Backdoor Agent - MS Mastita,https://huntinglebanese.com//en/careers/jobs/show/13064/backdoor-agent-ms-mastita,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:MastitaSCOPE OF THE JOB:The Backdoor Agent is responsible for receiving, inspecting, storing and issuing merchandise for use in the store. He/ She will also be responsible for ensuring an ongoing & punctual replenishment process at the store.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Receive merchandize, count it physically and electronically in order to ensure accuracy of information and inspect its quality to report discrepancies.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Organize the stockroom related to the store to conserve high level of stock replenishment.Classify, store and tag items in the warehouse on a daily basis as per store procedures and items' characteristics, in order to ensure timely finding and release of products.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Mastita SCOPE OF THE JOB: The Backdoor Agent is responsible for receiving, inspecting, storing and issuing merchandise for use in the store. He/ She will also be responsible for ensuring an ongoing & punctual replenishment process at the store. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-10-03,
Cashier - MS Mastita,https://huntinglebanese.com//en/careers/jobs/show/13062/cashier-ms-mastita,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:MastitaSCOPE OF THE JOB:The Cashier is responsible for handling the cash register systems and sales transactions. He/she greets, assists and serves customers on the store floor at all points in the shopping experience in order to ensure the provision of the highest standards of customer service and the achievement of maximum sales.KEY RESPONSIBILITIES:Maintain the cleanliness and tidiness of the cash desk (including invoice folder when applicable) and ensure that consumable materials (such as bags, rolls, etc.) are replenished throughout the day and marketing/communication tools are properly displayed.Prepare cash money, electronic cards slips & discounts, etc. at the end of day and submit them in compliance with company policies and security standards and report cash discrepancies.Deliver a high standard customer service, provide clients with the necessary support, promote gift cards, up-sell and cross-sell products and services.Ensure cash policies and procedures are applied duly and accurately.Handle alteration, gift wrapping, laundry and reservation requests, fill all related slips and log books as well as check alteration, reservation items at store opening to ensure their conformity to the set procedures.Perform accurate Stock Rotation in/out of items (to/from stores and warehouse) under the supervision of the manager on duty.Assist in ensuring a smooth and efficient receiving, returning & exchanging process of items /shipments (including defective items), as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Ensure that all legal Policies & Procedures are well placed at all premises & accessible for the customers.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the same field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Proficiency in Ms. Office; POS knowledge is a plus. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Mastita SCOPE OF THE JOB: The Cashier is responsible for handling the cash register systems and sales transactions. He/she greets, assists and serves customers on the store floor at all points in the shopping experience in order to ensure the provision of the highest standards of customer service and the achievement of maximum sales. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-10-03,
Cashier - MS Verdun,https://huntinglebanese.com//en/careers/jobs/show/13060/cashier-ms-verdun,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:VerdunSCOPE OF THE JOB:The Cashier is responsible for handling the cash register systems and sales transactions. He/she greets, assists and serves customers on the store floor at all points in the shopping experience in order to ensure the provision of the highest standards of customer service and the achievement of maximum sales.KEY RESPONSIBILITIES:Maintain the cleanliness and tidiness of the cash desk (including invoice folder when applicable) and ensure that consumable materials (such as bags, rolls, etc.) are replenished throughout the day and marketing/communication tools are properly displayed.Prepare cash money, electronic cards slips & discounts, etc. at the end of day and submit them in compliance with company policies and security standards and report cash discrepancies.Deliver a high standard customer service, provide clients with the necessary support, promote gift cards, up-sell and cross-sell products and services.Ensure cash policies and procedures are applied duly and accurately.Handle alteration, gift wrapping, laundry and reservation requests, fill all related slips and log books as well as check alteration, reservation items at store opening to ensure their conformity to the set procedures.Perform accurate Stock Rotation in/out of items (to/from stores and warehouse) under the supervision of the manager on duty.Assist in ensuring a smooth and efficient receiving, returning & exchanging process of items /shipments (including defective items), as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Ensure that all legal Policies & Procedures are well placed at all premises & accessible for the customers.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the same field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Proficiency in Ms. Office; POS knowledge is a plus. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Verdun SCOPE OF THE JOB: The Cashier is responsible for handling the cash register systems and sales transactions. He/she greets, assists and serves customers on the store floor at all points in the shopping experience in order to ensure the provision of the highest standards of customer service and the achievement of maximum sales. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-10-03,
