Title,Company,Date Posted,Salary,Description,URL
Branch Manager,Rossonero,2025-09-19,1800-2000,"The candidate in this position will be responsible for handling the daily operations and management of the store and to implement the company rules. His role is to oversee the staffing requirements of the store, deal with customer service issues, prevent theft & handles advertising & promotions of the store in order to increase the sales & to assure continuous credibility with customers on long term to grow the company.
Responsibilities:
Full Supervision and organization of the branch workforce and operations.
Implementing and monitoring sales and marketing strategies to ensure effectiveness.
Ensuring high-quality customer service and maintaining client satisfaction levels.
Preparing details periodic reports for senior management review.
Qualifications:
Bachelor's degree or equivalent in Business
Full proficiency in Arabic, English and French, both spoken and written.
Proven experience in retail branch management, preferably within the jewelry sector.
Outstanding leadership and organizational abilities.
Capability to lead teams and strategically meet sales objectives.",https://huntinglebanese.com/en/careers/jobs/show/12987/branch-manager
Executive assistant to VP,N/A,2025-10-08,1600-1800,"Provides high-level administrative and operational support to the Vice-President.
Coordinates schedules, meetings, correspondence, and travel.
Contributes to processes by reviewing policy documentation and ensuring compliance.",https://huntinglebanese.com/en/careers/jobs/show/13083/executive-assistant-to-vp
Financial Controller,N/A,2025-10-08,N/A,"7+ years of overall combined accounting and finance experience
Degree in Accounting
CPA or CMA preferred
Good knowledge of accounting principles and procedures
Experience with financial statements",https://huntinglebanese.com/en/careers/jobs/show/13081/financial-controller
Production manager,N/A,2025-10-08,N/A,"Follow up on the production process
Request raw material needed
Follow up with showroom managers
Oversee the production process and create a production schedule
Ensure that the production is cost effective
Supervise and motivate a team of employees
Identify training needs",https://huntinglebanese.com/en/careers/jobs/show/13080/production-manager
Advertising and Marketing Person,N/A,2025-10-08,N/A,"Experienced in advertising
Manage social media ads and posts
Creative person
English is a must",https://huntinglebanese.com/en/careers/jobs/show/13079/advertising-and-marketing-person
Branch Manager,Rossonero,2025-10-08,1800-2000,"The candidate in this position will be responsible for handling the daily operations and management of the store and to implement the company rules. His role is to oversee the staffing requirements of the store, deal with customer service issues, prevent theft & handles advertising & promotions of the store in order to increase the sales & to assure continuous credibility with customers on long term to grow the company.
Responsibilities:
Full Supervision and organization of the branch workforce and operations.
Implementing and monitoring sales and marketing strategies to ensure effectiveness.
Ensuring high-quality customer service and maintaining client satisfaction levels.
Preparing details periodic reports for senior management review.
Qualifications:
Bachelor's degree or equivalent in Business
Full proficiency in Arabic, English and French, both spoken and written.
Proven experience in retail branch management, preferably within the jewelry sector.
Outstanding leadership and organizational abilities.
Capability to lead teams and strategically meet sales objectives.",https://huntinglebanese.com/en/careers/jobs/show/13078/branch-manager
Cashier,N/A,2025-10-08,N/A,"Greets and directs customers.
Provide excellent customer service through all steps of the sales transaction.
Able to start immediately",https://huntinglebanese.com/en/careers/jobs/show/13076/cashier
Sales Associate,N/A,2025-10-08,N/A,"Clear, strong English communication skills
Confident and reliable personality
Willingness to learn
Basic computer skills",https://huntinglebanese.com/en/careers/jobs/show/13075/sales-associate
Branch Manager,N/A,2025-10-07,N/A,"Recruiting,training and supervising staff 
ensuring compliance with hygiene, health and safety
promoting and marketing the business",https://huntinglebanese.com/en/careers/jobs/show/13070/branch-manager
Retail Manager,N/A,2025-10-07,1500,"Recruiting,training and supervising staff 
promoting and marketing the business
Outstanding communication skills",https://huntinglebanese.com/en/careers/jobs/show/13068/retail-manager
